"Expression","Références ?"
"accapareur","EMY.30A1"
"aérolithe (voir aussi : bougre de sauvage d'aérolithe de tonnerre de Brest)","EMY"
"amiral de bateau-lavoir","CES.38A1"
"amphitryon","TAT.26C2"
"anacoluthe","CPO.57B2—PON.57D3 -- eOLU.46C1 -- eOML.46B1 -- CES.46D2s"
"analphabète","TRR.20D3 -- 7BC.43A1s, 58B1s"
"analphabète diplômé","eTRR.52C1"
"animal","eCES.52D2 -- ATS.11D2"
"anthracite",""
"anthropophage","OML.45A4s -- ATS.36B3 -- TAT.e37A3"
"anthropopithèque","CPO.56B2 -- TSO.47C1s -- eOML.47A3 -- TAT.26D3"
"apache","714.23A2"
"apophtegme",""
"apprenti-dictateur à la noix de coco","ePIC.10C1"
"arlequin","CPO.56A2"
"ascenseur","TAT.e51B2"
"astronaute d'eau douce","OML.52D3"
"athlète complet","eTRR.52C4"
"Au large !","TSO.38A3"
"autocrate","ATS.34C3s"
"autodidacte","ATS.22A3s"
"Aztèques","CPO.37D3"
