"Expression","Références ?"
"babouin","TRR.e30D1s"
"bachi-bouzouk","CPO.38A2s -- SLI.56A2 -- TRR.e7D2, 43C4s -- 7BC.47C1s -- PON.57D3 -- eOLU.4C1, e54A3s -- ATS.36C1 -- CES.16A3s -- CES.49B3a -- eTAT.25A3s -- BCF.10B2—714.23A2"
"bachi-bouzouk de tonnerre de Brest","eOML.31C2s, 44C4, e47C3"
"bachi-bouzouk des Carpathes","eATS.s42D1"
"bande de jeunes effrontés","TAT.53A3"
"bande de joyeux drilles","TAT.47C3"
"bande d'ectoplasmes de tonnerre de Brest","714.21C2"
"bande d'emplâtres","TAT.27C1"
"bande d'enragés","TSO.56D1"
"bande d'escrocs","TRR.5A1"
"bande d'hurluberlus","ATS.14A1"
"bande de bachi-bouzouks","TAT.11A3"
"bande de brutes","714.18B1"
"bande de canaques","7BC.47C1s -- OLU.5D1"
"bande de Ku-Klux-Klans","OLU.12A1"
"bande de pirates","OLU.3C3"
"bande de sauvages","TSO.47C1"
"bande de voleurs","EMY.30A1"
"bande de zapotèques de tonnerre de Brest","PIC.11B1"
"bandit","CPO.53A1 -- EMY.16B3, 40D3s -- SLI.31C1s, 54C1s -- 7BC.55B2s, 59C3s, 62A2s -- PON.59A3—OLU.26A3s -- OML.46B3 ATS.36B3—714.23A2, 34B1—PIC.22A2s"
"bayadère de carnaval","eCES. 26A1"
"bibelot","OLU.43A2"
"bibendum","eCES.35D3"
"bidule","714.45C3"
"blague, fumisterie et compagnie","OML.2D1"
"boit-sans-soif","SLI.53D2 -- TAT.26D2, e32A3 -- CES.49B3a"
"bombe atomique","TAT.58A1, 58A2"
"bon sang","OLU.55A3"
"bonhomme","BCF.41A4"
"bougre (de...)","PIC.19C1, 23A1"
"bougre d'ectoplasme à roulettes","CES.50D1s"
"bougre d'ectoplasme de moule à gaufres","714.54B2"
"bougre d'amiral de bateau-lavoir","CES.38A1"
"bougre de crème d'emplâtre à la graisse de hérisson","ATS.33B3"
"bougre d'extrait de cornichon","CES.4D1"
"bougre d'extrait de crétin des Alpes","TRR.41A3s"
"bougre d'extrait d'hydrocarbure","BCF.27C2"
"bougre de faux jeton à la sauce tartare","ATS.42D1s"
"bougre de méchant Blanc","CES.47B3s"
"bougre de mouchard","CES.52D2"
"bougre d'olibrius","TRR.8A1, 49B3"
"bougre d'ostrogoth","BCF.36C3s"
"bougre de papou des Carpathes","ATS.19D1"
"bougre de petit cornichon","PON.58C1"
"bougre de phénomène de tonnerre de Brest",""
"bougre de phénomène de moule à gaufres de tonnerre de Brest","CES.9A2"
"bougre de sauvage d'aérolithe de tonnerre de Brest","ATS.36B3"
"bougre de zouave","714.27C2"
"bougres de zouaves d'anthropopithèques","TSO.36.A2"
"brigand","EMY.30A2s -- 714.42D3s"
"brontosaure","eOML.3C4s"
"brute","CPO.22A1, 53B2 -- TRR.32C2e—7BC.45A1s, 55B2s -- OLU.43C1—PON.57D3 -- ATS.22A3s"
"bulldozer à réaction","TAT.e60B2"
