"Expression","Références ?"
"cachalot",""
"cake-walk","eOML.11C1"
"calembredaine","714.44B2s"
"canaille","CPO.22A1s, 37D1s -- 7BC.45A2s, 45B2s -- 714.23A1"
"Canaque","CPO.56A3 -- TRR.29A1 -- eOLU.12A1s"
"cannibale","CPO.56B2 -- TRR.29A1—OML.55A1 -- TAT.26C2—BCF.10B2—PIC.42B3"
"cannibale emplumé","TSO.49A1"
"capitaine de bateau-lavoir",""
"casse-pieds","BCF.26C2, 27A1, 61D2"
"catachrèse","EMY.40D3s, eBCF.19C2—714.23A2"
"cataplasme","SLI.54A1"
"cercopithèque","CES.49B3h"
"cercueil volant","OML.62C3 -- CES.16B2"
"chauffard","SLI.56A2—EMY.26A3s - 7BC.55B2s -- eOLU.43C1"
"chenapan (voir aussi : jeune chenapan)","CPO.38A2s -- SLI.19B2s"
"cher petit ami","714.36B1"
"choléra (voir aussi : petit choléra)","CES.14B2"
"chouette mal empaillée","TSO.30A2"
"chrysanthème",""
"cigare volant","eOLU.53C2—OML.8C3"
"cloche à fromage","OML.34C1"
"cloporte","SLI.19B2s, 29A2s -- EMY.40D3s -- ePIC.57D3"
"clown","OML.18C2s, 56B3s"
"clysopompe",""
"coléoptère","SLI.29A2s -- OML.47D1 -- ATS.48C2"
"coloquinte","SLI.29B1s -- EMY.30A1s -- TAT.26D3"
"coloquinte à la graisse de hérisson","eCES.47B1s"
"concentré de moule à gaufres","OML.43B3"
"coquin",""
"cornemuse","SLI.14A3s"
"cornichon (voir aussi : bougre d'extrait de cornichon)","SLI.14A2s, 29A1s -- TRR.43C4s -- 7BC.43A1s, 55B3s -- OLU.5C3, 39A3s, e46A3, 59B3 -- CES.46D1s -- BCF.8A1"
"cornichon de zouave de tonnerre de Brest","OLU.11D3s"
"cornichon diplômé","ATS.28D3s"
"corsaire","CPO.56A1"
"coup de Trafalgar","OLU.40A1"
"coupe-jarret","eCES.49A4"
"cow-boy de la route","eATS.36B3"
"crème d'emplâtre à la graisse de hérisson","OML.20C1"
"crétin de l'Himalaya","TAT.24D2"
"crétin des Alpes","TRR.20D3—7BC.58B1s"
"crétin des Balkans","ATS.20A1"
"commerce noir",""
"cromagnon","eTAT.26C1"
"cuistre",""
"cyanure","TAT.26D3"
"cyclone","SLI.56A2"
"cyclone ambulant","BCF.7C3"
"cyclotron","OLU.43C1"
"Cyrano à quatre pattes","eTSO.38A1"
