"Expression","Références ?"
"écornifleur","SLI.54C1s"
"écraseur","SLI.56A2—7BC.55B2s -- OLU.43C1 -- ATS.22A3s, 36B3"
"Ectoplasme","CPO.38A2s -- EMY.41A1s -- TRR.e28D3, 43C4s -- 7BC.43A1s, 58B2s -- TSO.48A1s -- PON.57D3 -- eOLU.4C3, 5C3 -- eOML.56B3s -- eATS.32C4, 36C1 -- CES.35D3 -- TAT.26C2, 27A2"
"ectoplasme à roulettes (voir aussi : bougre d'ectoplasme à roulettes)",""
"égoïste","ATS.34B4bs"
"électron (travailler de l'—)","OLU.10A2"
"emplâtre","CPO.37D1s, 56B2 -- SLI.29B1s -- TRR.43C3s -- eOML.12B2s"
"emplâtré à la graisse de hérisson",""
"empoisonneur","OLU.2D1s"
"encordé vous-même","TAT.38D2"
"énergumène","EMY.26B1"
"enfer et damnation","TRR.18D1"
"enfonceur de porte ouverte",""
"enragé",""
"épouvantail",""
"équilibriste","eTAT.11A1"
"esclavagiste","CPO.55D2"
"escogriffe","SLI.54A3"
"escroc",""
"espèce de...","BCF.13B1"
"espèce de loup-garou à la graisse de renoncule de mille sabords",""
"espèce de porc-épic mal embouché",""
"entêté","CPO.25D2"
"extrait d'emplâtre","OLU.49C1"
"extrait d'hydrocarbure (voir aussi: bougre d'extrait d'hydrocarbure)",""
"extrait de cornichon (voir aussi : bougre d'extrait de cornichon)",""
