"Expression","Références ?"
"face de brute","PIC.15A1"
"farceur (Voir aussi : sinistre farceur)",""
"fatma de prisunic",""
"faux frère","OML.51D2"
"faux jeton","eOML.46B1"
"faux jeton à la sauce tartare (voir aussi : bougre de faux jeton à la sauce tartare)",""
"fichu –","OLU.32C5"
"fieffé menteur","PIC.9C1"
"fiston","TAT.13D2, 24C1, 40C3"
"flibustier","CPO.55D3—EMY.26A3s -- SLI.14A3s -- ATS.22A3s -- CES.44A1s -- TAT.26D1"
"flibustier de carnaval","TRR.4D2"
"flûte","OML.54B2"
"forban","SLI.14A1s, 19B2s -- EMY.27D4s, 41C1s -- ATS.42A3s -- PIC.11A2s"
"fourbe","PIC.8D2"
"Frère de la côte","CES.44A1s"
"froussard","CPO.38A3s"
