"Expression","Références ?"
"gaillard","7BC.43A4 -- TAT.15A1, 17B1s -- BCF.21B2s, 57B1"
"galopin","eTAT.14D1"
"gamin","TAT.49B3"
"gangster","SLI.31C1s -- OLU.7B3s"
"garde-côtes à la mie de pain","CES.33B3s"
"gargarisme","SLI.29B1s"
"garnement","7BC.59C3s"
"gibier de potence",""
"goujat",""
"graine de vaurien","CES.6B3"
"graisse de hérisson (à la – ). Voir aussi : [bougre de] [crème d']emplâtre – , coloquinte –.","OML.43B3"
"graisse de trombone à coulisse (à la – )","PIC.6B2"
"grand escogriffe","TAT.60B2 -- e714.3A3"
"grand lâche","SLI.20C1s -- TSO.48A1s"
"gredin","CPO.36B1—EMY.16C4 -- SLI.31C1s -- 7BC.43A1s -- OLU.26A3s -- OML.54D2 -- CES.14B2"
"grenouille","CPO.37D3s"
"gros-plein-de-soupe","ATS.34C3s"
"grotesque polichinelle","PIC.10D3"
"gyroscope","CPO.56A3"
