"Expression","Références ?"
"maboul","TAT.51B3"
"macaque","CPO.38A3s"
"macrocéphale","TAT.26C2"
"malappris","TAT.53A2"
"malheur (– de –)","OLU.12B2"
"malheureux, -se","TRR.35D3—OLU.3A2"
"malotru","ATS.19B1"
"Mamelouk","TAT.26C1"
"marchand de guano","ePIC.8D2"
"marchand de tapis","CPO.37D3s"
"marin d'eau douce","CPO.38A2s -- EMY.26A3s -- TRR.43C4s, TSO.5A3"
"marmotte mal réveillée",""
"maudit(e) —","EMY.32D4"
"mazette","OLU.4A1"
"mégacycle","TAT.60B3"
"mégalomane","TAT.26D1"
"mercanti","EMY.30A1s"
"mercenaire","SLI.14A2"
"mérinos","eOML.13A2s"
"mérinos mal peignés","TSO.32C2"
"migou de malheur","TAT.54C3"
"mille milliards de...","714.21D2"
"mille milliards de mille millions de mille sabords","TRR.11B3—BCF.7D3—714.1B2"
"mille milliards de mille sabords","OLU.40A1, 52A1, 52C5 -- TAT.04A1—BCF.2C1, 19C3—714.22C1, 23B2, 29A1—PIC.23C1"
"mille milliards de mille sabords de tonnerre de Brest","7BC.29C2 -- TAT.11A3 -- CES.7B1"
"mille milliards de tonnerre de Brest","TAT.05D2"
"mille millions de mille milliards de mille sabords","TRR.20A3—7BC.14D2 -- TAT.14B2h—BCF.10B2 -- TSO.5A2"
"mille millions de mille milliards de mille sabords de tonnerre de Brest","7BC.6D3"
"mille millions de mille sabords","EMY.32D4, 40D2 TRR.2B2, 37C3 7BC.54C3 PON.61B1 OLU.4C3, 5C1, 46C1, 52B4 OML.11B3, 15B3, 29B1, 33A1, 44A1 TAT.03A1, 09A2, 17B4, 18B1, 24B2, 26B1, 40BC1, 52A3 BCF.6A1, 24B4, 26D3, 27C2, 44.D3 714.10C1 PIC.9A2, 19A1"
"mille millions de mille sabords de tonnerre de Brest","TRR.7B2—7BC.34D3"
"mille millions de sabords","TRR.16D3—714.42D3"
"mille millions de tonnerres de Brest","OLU.49B2 -- CES.5D2"
"mille sabords","EMY.19D3, 20A3, 34B3, 37C2, 38B3 TRR.3C1, 9D3, 12A3, 17A1, 18C2, 19C2, 19D3, 23D3, 29B2, 41A3 7BC.7A3, 7B2, 29B3, 42B1, 48B3, 51B1, 54A3, 54B2, 58A1 TSO.4A1, 5C2 PON.60A1, 62A1h, 62D2 OLU.2D3, 5A1, 5B1, 6C1, 6D2, 7B2, 8B2, 10B1, 18C3, 26A3, 30B1, 31B1, 36B2h, 38C3, 44D3, 47D1, 49A1, 49B3, 49C3, 53D2, 60A3 OML.2B4, 3D2, 4C1, 6A1, 10C3, 27C3, 28A2, 34A3, 38A1, 45D3, 46B1, 47B2, 47C1, 47C3, 49D1, 50A2, 52D3, 55D3, 55A4 ATS.42A4, 42B4 TAT.06A2, 15A1, 25A1, 28C3, 34B2, 36D3, 38C2, 40A3, 41A1, 41D3, 60A1 BCF.12D2, 18B2, 22A2, 25C2, 38A4, 41A4 714.44B2, 56B2 PIC.18C1"
"mille tonnerres","SLI.61B2, EMY.37D1 -- TRR.20A1—7BC.7A1, 7B2—OLU.6C3—OML.48D1 -- ATS.46A4—BCF.6B1b -- TAT.38D2"
"mille tonnerres de Brest","TAT.15B2, 50A1—714.11C1"
"milliards de...","714.2D3"
"misérable","EMY.16C1 -- TRR.17A3, 18D1, 20B2, 20D3—7BC.47D1"
"misérable ectoplasme","OML.54C2"
"misérable ver de terre","SLI.29B1s"
"mitrailleur à bavette (voir aussi : sacré mitrailleur à bavette)","eCES.35C2"
"moratorium",""
"moricaud",""
"morues dans un carton à chapeau","OML.56B1"
"mouchard (voir aussi : bougre de mouchard)",""
"moujik","EMY.40D3s"
"moule à gaufres (voir aussi : bougre de phénomène de moule à gaufres de tonnerre de Brest)","CPO.38A3 -- TRR.28D3s -- 7BC.55B3s, e58B2s -- TSO.47C1s -- OML.54C1s -- ATS.22A3s, 34B4bs -- TAT.35B3—714.22A1"
"moussaillon","CPO.25C4 -- TAT.01B2, 05C1, 38C2, 49B3 -- CES.46C1—BCF.36D2, 40B2—714.55D3—PIC.31C3"
"moussaillon de malheur","CPO.20A3"
"moussaillon du diable","CPO.20B2"
"mufle",""
"MRKRPXZKRMTFRZ","TAT.26B3"
"Mussolini de carnaval","PIC.8D3"
