"Expression","Références ?"
"Pachyderme",""
"pacte à quatre","CPO.55D3"
"paltoquet",""
"pantoufle","EMY.26A3"
"papou","EMY.40D3s"
"papou des Carpathes (voir aussi : bougre de papou des Carpathes)",""
"paranoïaque",""
"parasites","CPO.38A3—7BC.55B2"
"Patagon","OLU.1C1"
"patagon de zoulou","eATS.44B4s"
"patapouf","EMY.40D3s"
"patate","PIC.8D2"
"pauvre bougre","714.21C2"
"pauvre type","SLI.32A2"
"peau-rouge","EMY.37C2s"
"pénultième",""
"père volant","TAT.51A1"
"péronnelle","ATS.4C1a"
"perruche bavarde (vieille –)",""
"perroquet déplumé",""
"petit choléra","CES.6C2"
"petit délicat","TAT.54D2"
"petit ornithorynque","PON.e58C3"
"petite tigresse","eBCF.2C2"
"petit vaurien","TAT.53A1s"
"phénomène","TRR.7C1—OLU.2D3, 9C3, e52A1"
"phlébotome","714.21D3s"
"phylactère",""
"phylloxéra","SLI.29A3, TAT.26C2"
"pignouf","ATS.34B4bs"
"pirate","CPO.38C2 et 56A1, SLI.14A3s, 53D2, EMY.26A3, 32D4—7BC.47C1s -- PON.57D3—OLU.5C3, 26A3s, 40A1—OML.47B2s -- CES.44A1s, 49C2 --714.23C3s"
"pirate d'eau douce","TRR.4B2"
"pirate du ciel","OML.52D3"
"plein le dos","OLU.34C1"
"pleurnichard","OML.48D1s"
"polichinelle (voir : grotesque polichinelle)",""
"polygraphe","ATS.34B4bs"
"porc-épic mal embouché","eCES.41C3"
"potentat",""
"poussière","TSO.47B2s"
"profiteur",""
"projectile guidé","eCES. 1D3"
"protozoaire","7BC.45A1s"
"pyromane","TAT.60B3"
"pyrophore","SLI.29A3s"
