"Expression","Références ?"
"sacr... fichue —","PIC.17B1"
"sacré mitrailleur à bavette","714.3A3, 51A2"
"sacripant","CPO.55D2—SLI.53D2"
"sajou",""
"sale bête","714.39B3s"
"saleté d'appareil à sous","CES.56D1"
"sale vilaine bête de tonnerre de Brest","TSO.2D2"
"saltimbanque","7BC.55B2s"
"sapajou","SLI.14A2s, 29A2s, 54C1s -- OLU.5C3"
"sapristi","7BC.56D1"
"satané —","OLU.10B2 —BCF.5A1 —PIC.17C2"
"satrape","TAT.27A2—714.21D3s"
"sauvage","CPO.37D3s -- 7BC.43A1s -- OML.55A1"
"sauvage d'aérolithe",""
"scélérat","EMY.40D2s -- PIC.11A2s"
"schizophrène","CES.49B3h"
"scolopendre","SLI.20B3"
"scorpion","OML.53B2"
"serpent","OML.52D3"
"simili-Martien à la graisse de cabestan","714.49B2s"
"sinapisme",""
"sinistre farceur","PIC.42B3"
"sombre brute","OML.45A4s"
"sombre oryctérope","PIC.2A1"
"soulographe","TAT.26C1"
"sous-produit d'ectoplasme","ATS.19C1"
