"Expression","Références ?"
"tas de cornichons","TSO.48A1s"
"tas de sauvages","CPO.41C1—7BC.45A1 -- TSO.50C4"
"tchouk-tchouk-nougat","CPO.37D1 -- TSO.33A3"
"technocrate","CPO.55D2"
"terroriste","TSO.48A1s"
"tête de lard","OML.48B2s"
"tête de mule","OML.36C1 -- TAT.06D1 -- ePIC.11B1"
"têtu comme une mule","TAT.49B3"
"tigresse",""
"tonnerre","7BC.27D1 -- TAT.15F2h, 17A1, 24D1, 41A2—OLU.48D2—OML.38D3"
"tonnerre de Brest","EMY.17A3, 19.D3, 21B2, 25D3, 26B3, 34C2, 35A1, 36B2, 37C2, 43C2, 62D2 SLI.5C2, 45D4, 61A2 TRR.2B1, 17C2, 20B2, 28B3, 31D2, 32B2, 35D2, 37B1 7BC.7B2, 35A3, 47D1, 50C3, 54B4, 55A1, 59B2, 62A2 TSO.3D3 PON.61D4, 62A2 OLU.5A3, 6C2, 7A3, 10A1, 12B2, 32C5, 39B4, 47D2, 50A2, 52A1, 52C2, 55A3 OML.26B2, 27A2, 27C3, 28A2, 33B1, 36C3, 42C1, 56A1 TAT.09A3, 14A3, 16D2, 17B2, 26A2, 32D2, 40D3, 48B3, 52A3 BCF.2B3, 6C3, 8A1, 26A4, 59.B3 714.1B3, 12B3, 34D3, 60D1 PIC.19C1"
"tonnerre de tonnerre de Brest","SLI.5D1, EMY.27D4 -- TRR.23A3—7BC.14B2, 14D4, 51A1—PON.59A2h—OML.54D3, 55B3—BCF.30C3—714.44B2"
"topinambour","SLI.29A3s"
"tortionnaire","OML.45A4s -- PIC.42B3"
"trafiquant de chair humaine","eCES.48D3"
"traîne-potence","SLI.14A3"
"traître","EMY.30A2s, 40D3s"
"tricheur","714.14A1"
"troglodyte","CPO.37D1 -- ATS.34B4bs -- CES.46D1s"
"trompe-la-mort","TAT.26C1 -- TSO.46C3"
"troufignol",""
