"Expression","Références ?"
"vampire","7BC.45A1, 54A3 -- TAT.26C1—714.23A2"
"vandale","CES.49C3a"
"va-nu-pieds","CPO.37D1 -- SLI.20B2—7BC.43A1 -- ATS.34C3s -- CES.46D1s -- 714.21D3s"
"vaurien (voir aussi : graine de vaurien)",""
"végétarien","CPO.55D3"
"ver de terre",""
"Vercingétorix de carnaval","eOML.20C2s"
"vermicelles","SLI.29A3"
"vermine","SLI.19B2"
"vieille baderne",""
"vieille branche","OML.62A3"
"vieille coque rouillée","OLU.54A3"
"vieille marmotte","eOLU.49C1"
"vieille perruche bavarde","eBCF.19B4"
"vieux farceur","OLU.9D2"
"vieux frère","BCF.7B1"
"vieux rafiot que je suis","TAT.49B3"
"vipère","CES.49A4—714.22D3"
"vivisectionniste","OML.45A4s"
"volatile de malheur","714.39C1s"
"voleur",""
"voleur d'enfants","PON.57D3"
